external_id,source,name,category,equipment_json,primary_muscles_json,secondary_muscles_json,gif_rel_path,axes_json
Ln9iTbU,ExerciseDB,barbell rear delt raise,shoulders,"[""barbell""]","[""deltoids""]","[""trapezius"",""rhomboids""]",gif/Ln9iTbU.gif,"{""category"":""shoulders"",""equipment"":[""barbell""],""muscles"":[""deltoids""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""shoulders_other_external""}"
CJwa0vD,ExerciseDB,dumbbell standing bent over one arm triceps extension,arms_upper,"[""dumbbell""]","[""triceps""]","[""shoulders"",""back""]",gif/CJwa0vD.gif,"{""category"":""arms_upper"",""equipment"":[""dumbbell""],""muscles"":[""triceps""],""unilateral"":true,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_external""}"
rDAiRf9,ExerciseDB,dumbbell incline one arm press,chest,"[""dumbbell""]","[""pectorals""]","[""shoulders"",""triceps""]",gif/rDAiRf9.gif,"{""category"":""chest"",""equipment"":[""dumbbell""],""muscles"":[""pectorals""],""unilateral"":true,""load_type"":""external"",""movement_pattern"":""push"",""engine_key"":""chest_push_external""}"
XDOiFns,ExerciseDB,sled forward angled calf raise,legs_lower,"[""machine""]","[""gastrocnemius""]","[""hamstrings"",""gluteus""]",gif/XDOiFns.gif,"{""category"":""legs_lower"",""equipment"":[""machine""],""muscles"":[""gastrocnemius""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""other"",""engine_key"":""legs_lower_other_external""}"
niXESDw,ExerciseDB,dumbbell biceps curl squat,arms_upper,"[""dumbbell""]","[""biceps""]","[""forearms""]",gif/niXESDw.gif,"{""category"":""arms_upper"",""equipment"":[""dumbbell""],""muscles"":[""biceps""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""squat"",""engine_key"":""arms_upper_squat_external""}"
aee2Fcj,ExerciseDB,barbell biceps curl (with arm blaster),arms_upper,"[""barbell""]","[""biceps""]","[""forearms""]",gif/aee2Fcj.gif,"{""category"":""arms_upper"",""equipment"":[""barbell""],""muscles"":[""biceps""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_external""}"
iZop9xO,ExerciseDB,barbell lying triceps extension,arms_upper,"[""barbell""]","[""triceps""]","[""shoulders""]",gif/iZop9xO.gif,"{""category"":""arms_upper"",""equipment"":[""barbell""],""muscles"":[""triceps""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_external""}"
4LIG9xr,ExerciseDB,barbell reverse preacher curl,arms_upper,"[""barbell""]","[""biceps""]","[""forearms""]",gif/4LIG9xr.gif,"{""category"":""arms_upper"",""equipment"":[""barbell""],""muscles"":[""biceps""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""isolation"",""engine_key"":""arms_upper_isolation_external""}"
tgryw5Y,ExerciseDB,push-up (on stability ball),chest,"[""ball""]","[""pectorals""]","[""triceps"",""shoulders"",""abdominals""]",gif/tgryw5Y.gif,"{""category"":""chest"",""equipment"":[""ball""],""muscles"":[""pectorals""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""push"",""engine_key"":""chest_push_external""}"
xUwnBMT,ExerciseDB,smith seated shoulder press,shoulders,"[""machine""]","[""deltoids""]","[""triceps"",""upper_back""]",gif/xUwnBMT.gif,"{""category"":""shoulders"",""equipment"":[""machine""],""muscles"":[""deltoids""],""unilateral"":false,""load_type"":""external"",""movement_pattern"":""push"",""engine_key"":""shoulders_push_external""}"
